date,ticker,open,high,low,close,volume
2023-12-29,BAYA,10.01,10.02,10.01,10.01,175033
2024-01-02,BAYA,10.03,10.03,10.01,10.02,6795
2024-01-03,BAYA,10.0214,10.05,10.0214,10.05,67798
2024-01-04,BAYA,10.04,10.06,10.04,10.06,122295
2024-01-05,BAYA,10.06,10.06,10.06,10.06,10143
2024-01-08,BAYA,10.07,10.07,10.06,10.06,50485
2024-01-09,BAYA,10.06,10.08,10.06,10.079,165697
2024-01-10,BAYA,10.08,10.08,10.072,10.072,396
2024-01-11,BAYA,10.075,10.075,10.07,10.07,5113
2024-01-12,BAYA,10.07,10.07,10.07,10.07,361
2024-01-16,BAYA,10.08,10.09,10.08,10.09,52164
2024-01-17,BAYA,10.09,10.09,10.085,10.09,5271
2024-01-18,BAYA,10.0814,10.0814,10.0814,10.0814,330
2024-01-19,BAYA,10.09,10.09,10.0899,10.09,25261
2024-01-22,BAYA,10.09,10.09,10.09,10.09,1
2024-01-23,BAYA,10.09,10.09,10.09,10.09,21
2024-01-24,BAYA,10.091,10.1,10.091,10.1,1996
2024-01-25,BAYA,10.1,10.1,10.1,10.1,515
2024-01-26,BAYA,10.13,10.13,10.12,10.12,2686
2024-01-29,BAYA,10.13,10.13,10.13,10.13,2640
2024-01-30,BAYA,10.14,10.14,10.13,10.13,653
2024-01-31,BAYA,10.13,10.13,10.13,10.13,26
2024-02-01,BAYA,10.13,10.13,10.13,10.13,1
2024-02-02,BAYA,10.13,10.13,10.13,10.13,2
2024-02-05,BAYA,10.13,10.13,10.13,10.13,21
2024-02-06,BAYA,10.13,10.13,10.13,10.13,1
2024-02-07,BAYA,10.13,10.13,10.13,10.13,0
2024-02-08,BAYA,10.13,10.13,10.13,10.13,4
2024-02-09,BAYA,10.13,10.13,10.13,10.13,61
2024-02-12,BAYA,10.13,10.13,10.13,10.13,0
2024-02-13,BAYA,10.13,10.13,10.13,10.13,3
2024-02-14,BAYA,10.13,10.13,10.13,10.13,0
2024-02-15,BAYA,10.13,10.13,10.13,10.13,203
2024-02-16,BAYA,10.13,10.13,10.13,10.13,0
2024-02-20,BAYA,10.13,10.13,10.13,10.13,3
2024-02-21,BAYA,10.1,10.12,10.1,10.12,1628
2024-02-22,BAYA,10.12,10.12,10.12,10.12,1
2024-02-23,BAYA,10.12,10.12,10.12,10.12,2
2024-02-26,BAYA,10.12,10.12,10.12,10.12,0
2024-02-27,BAYA,10.12,10.12,10.12,10.12,12
2024-02-28,BAYA,10.12,10.12,10.1,10.1,863
2024-02-29,BAYA,10.13,10.13,10.03,10.03,2801
2024-03-01,BAYA,10.1,10.1,10.1,10.1,302
2024-03-04,BAYA,10.1,10.1,10.1,10.1,1807
2024-03-05,BAYA,10.1,10.1,10.1,10.1,0
2024-03-06,BAYA,10.1,10.1,10.1,10.1,45
2024-03-07,BAYA,10.1,10.1,10.1,10.1,3
2024-03-08,BAYA,10.07,10.07,10.07,10.07,502
2024-03-11,BAYA,10.07,10.07,10.07,10.07,2
2024-03-12,BAYA,10.07,10.07,10.07,10.07,0
2024-03-13,BAYA,10.07,10.07,10.07,10.07,0
2024-03-14,BAYA,10.07,10.07,10.07,10.07,0
2024-03-15,BAYA,10.07,10.07,10.07,10.07,0
2024-03-18,BAYA,10.07,10.07,10.07,10.07,0
2024-03-19,BAYA,10.07,10.07,10.07,10.07,0
2024-03-20,BAYA,10.07,10.07,10.07,10.07,0
2024-03-21,BAYA,10.07,10.07,10.07,10.07,0
2024-03-22,BAYA,10.07,10.07,10.07,10.07,0
2024-03-25,BAYA,10.07,10.07,10.07,10.07,0
2024-03-26,BAYA,10.07,10.07,10.07,10.07,0
2024-03-27,BAYA,10.07,10.07,10.07,10.07,0
2024-03-28,BAYA,10.07,10.07,10.07,10.07,0
2024-04-01,BAYA,10.07,10.07,10.07,10.07,0
2024-04-02,BAYA,10.07,10.07,10.07,10.07,0
2024-04-03,BAYA,10.07,10.07,10.07,10.07,0
2024-04-04,BAYA,10.12,10.12,10.12,10.12,4081
2024-04-05,BAYA,10.12,10.13,10.12,10.13,19018
2024-04-08,BAYA,10.14,10.15,10.14,10.15,20010
2024-04-09,BAYA,10.15,10.15,10.15,10.15,123
2024-04-10,BAYA,10.16,10.1677,10.15,10.15,6422
2024-04-11,BAYA,10.15,10.15,10.15,10.15,8
2024-04-12,BAYA,10.15,10.15,10.15,10.15,0
2024-04-15,BAYA,10.16,10.16,10.16,10.16,4004
2024-04-16,BAYA,10.17,10.17,10.17,10.17,5616
2024-04-17,BAYA,10.17,10.17,10.17,10.17,207
2024-04-18,BAYA,10.17,10.17,10.17,10.17,438
2024-04-19,BAYA,10.17,10.17,10.17,10.17,64
2024-04-22,BAYA,10.17,10.17,10.17,10.17,1
2024-04-23,BAYA,10.165,10.17,10.165,10.165,5152
2024-04-24,BAYA,10.16,10.17,10.16,10.16,26197
2024-04-25,BAYA,10.17,10.18,10.17,10.18,69763
2024-04-26,BAYA,10.18,10.18,10.18,10.18,5
2024-04-29,BAYA,10.18,10.18,10.18,10.18,5
2024-04-30,BAYA,10.171,10.332,10.16,10.17,2734
2024-05-01,BAYA,10.17,10.17,10.17,10.17,60007
2024-05-02,BAYA,10.17,10.17,10.17,10.17,0
2024-05-03,BAYA,10.17,10.17,10.17,10.17,10
2024-05-06,BAYA,10.17,10.17,10.17,10.17,310
2024-05-07,BAYA,10.18,10.18,10.18,10.18,875
2024-05-08,BAYA,10.18,10.18,10.18,10.18,10
2024-05-09,BAYA,10.19,10.19,10.18,10.18,3403
2024-05-10,BAYA,10.18,10.18,10.18,10.18,0
2024-05-13,BAYA,10.19,10.19,10.19,10.19,4916
2024-05-14,BAYA,10.19,10.19,10.18,10.18,100119
2024-05-15,BAYA,10.18,10.18,10.18,10.18,3
2024-05-16,BAYA,10.18,10.18,10.18,10.18,2876
2024-05-17,BAYA,10.18,10.18,10.18,10.18,0
