date,ticker,open,high,low,close,volume
2025-03-24,SVCC,10.1,10.1,9.95,9.95,314
2025-03-25,SVCC,9.98,9.98,9.98,9.98,167
2025-03-26,SVCC,9.98,9.98,9.98,9.98,100002
2025-03-27,SVCC,9.99,10.01,9.97,9.99,284238
2025-03-28,SVCC,9.9866,9.9866,9.98,9.98,1292
2025-03-31,SVCC,9.98,9.9869,9.98,9.9869,3643
2025-04-01,SVCC,9.98,9.98,9.98,9.98,112
2025-04-02,SVCC,9.98,9.98,9.98,9.98,104
2025-04-03,SVCC,9.98,9.98,9.98,9.98,4
2025-04-04,SVCC,9.98,9.98,9.98,9.98,3546
2025-04-07,SVCC,10.0,10.0,9.98,9.98,572
2025-04-08,SVCC,9.99,9.99,9.975,9.975,14516
2025-04-09,SVCC,9.975,9.975,9.975,9.975,1656
2025-04-10,SVCC,9.98,9.99,9.98,9.99,100613
2025-04-11,SVCC,9.97,9.995,9.97,9.99,417694
2025-04-14,SVCC,9.97,9.99,9.97,9.99,6752
2025-04-15,SVCC,9.97,9.99,9.97,9.99,5221
2025-04-16,SVCC,9.99,9.99,9.99,9.99,180403
2025-04-17,SVCC,9.99,9.99,9.99,9.99,682
2025-04-21,SVCC,9.99,9.999,9.98,9.995,379284
2025-04-22,SVCC,9.99,10.0,9.99,9.99,169873
2025-04-23,SVCC,9.995,10.01,9.995,10.01,84804
2025-04-24,SVCC,10.02,10.02,10.02,10.02,5877
2025-04-25,SVCC,10.03,10.03,10.025,10.03,121802
2025-04-28,SVCC,10.04,10.05,10.04,10.05,9437
2025-04-29,SVCC,10.05,10.055,10.04,10.05,6206
2025-04-30,SVCC,10.055,10.07,10.05,10.06,35383
2025-05-01,SVCC,10.07,10.07,10.06,10.07,2041
2025-05-02,SVCC,10.0965,10.0965,10.09,10.095,53421
2025-05-05,SVCC,10.08,10.08,10.08,10.08,1330
2025-05-06,SVCC,10.08,10.08,10.08,10.08,2621
2025-05-07,SVCC,10.1,10.1,10.1,10.1,400
2025-05-08,SVCC,10.1,10.1,10.1,10.1,193
2025-05-09,SVCC,10.1,10.1,10.1,10.1,25
2025-05-12,SVCC,10.1,10.1,10.1,10.1,6
2025-05-13,SVCC,10.1,10.1,10.07,10.1,10519
2025-05-14,SVCC,10.08,10.105,10.08,10.1,31388
2025-05-15,SVCC,10.1,10.1,10.1,10.1,23
2025-05-16,SVCC,10.1,10.1,10.09,10.09,1920
2025-05-19,SVCC,10.09,10.09,10.09,10.09,35
2025-05-20,SVCC,10.09,10.09,10.09,10.09,35
2025-05-21,SVCC,10.09,10.09,10.09,10.09,42300
2025-05-22,SVCC,10.05,10.12,10.05,10.09,1150
2025-05-23,SVCC,10.09,10.09,10.09,10.09,25000
2025-05-27,SVCC,10.1,10.1,10.1,10.1,2102
2025-05-28,SVCC,10.1,10.105,10.1,10.1,26087
2025-05-29,SVCC,10.11,10.115,10.11,10.11,156624
2025-05-30,SVCC,10.11,10.14,10.11,10.13,89082
2025-06-02,SVCC,10.25,10.31,10.11,10.15,8214
2025-06-03,SVCC,10.15,10.17,10.15,10.17,5193
2025-06-04,SVCC,10.18,10.18,10.18,10.18,179
2025-06-05,SVCC,10.18,10.18,10.18,10.18,154
2025-06-06,SVCC,10.18,10.18,10.18,10.18,11
2025-06-09,SVCC,10.16,10.17,10.16,10.17,8044
2025-06-10,SVCC,10.18,10.185,10.16,10.185,11825
2025-06-11,SVCC,10.18,10.21,10.18,10.205,86371
2025-06-12,SVCC,10.2,10.205,10.2,10.2,30496
2025-06-13,SVCC,10.2,10.2,10.2,10.2,52
2025-06-16,SVCC,10.2,10.2,10.2,10.2,253
2025-06-17,SVCC,10.2,10.2,10.2,10.2,50001
2025-06-18,SVCC,10.21,10.21,10.21,10.21,1018
2025-06-20,SVCC,10.21,10.21,10.21,10.21,22
2025-06-23,SVCC,10.22,10.24,10.22,10.22,16199
2025-06-24,SVCC,10.22,10.22,10.22,10.22,4
2025-06-25,SVCC,10.22,10.225,10.22,10.22,51000
2025-06-26,SVCC,10.22,10.22,10.22,10.22,122142
2025-06-27,SVCC,10.22,10.22,10.22,10.22,5
2025-06-30,SVCC,10.22,10.22,10.22,10.22,36
2025-07-01,SVCC,10.22,10.22,10.22,10.22,199
2025-07-02,SVCC,10.22,10.22,10.22,10.22,2
2025-07-03,SVCC,10.22,10.22,10.22,10.22,0
2025-07-07,SVCC,10.225,10.23,10.22,10.23,130007
