date,ticker,open,high,low,close,volume
2023-11-30,QETA,10.1,10.1,10.08,10.08,424786
2023-12-01,QETA,10.08,10.09,10.08,10.08,127892
2023-12-04,QETA,10.08,10.09,10.07,10.08,249374
2023-12-05,QETA,10.08,10.09,10.07,10.08,368089
2023-12-06,QETA,10.08,10.08,10.07,10.08,79922
2023-12-07,QETA,10.09,10.1,10.08,10.08,282124
2023-12-08,QETA,10.09,10.09,10.09,10.09,50000
2023-12-11,QETA,10.09,10.1,10.08,10.08,578005
2023-12-12,QETA,10.09,10.1,10.085,10.0942,377806
2023-12-13,QETA,10.09,10.1,10.09,10.1,1568
2023-12-14,QETA,10.1,10.1,10.09,10.1,101457
2023-12-15,QETA,10.1,10.1,10.09,10.09,166412
2023-12-18,QETA,10.09,10.09,10.09,10.09,10
2023-12-19,QETA,10.1,10.1,10.09,10.1,282733
2023-12-20,QETA,10.1,10.1,10.1,10.1,0
2023-12-21,QETA,10.1,10.1,10.1,10.1,0
2023-12-22,QETA,10.085,10.09,10.08,10.09,11306
2023-12-26,QETA,10.09,10.09,10.09,10.09,0
2023-12-27,QETA,10.09,10.09,10.09,10.09,75
2023-12-28,QETA,10.09,10.09,10.09,10.09,45
2023-12-29,QETA,10.109,10.11,10.109,10.11,3003
2024-01-02,QETA,10.09,10.11,10.09,10.11,13920
2024-01-03,QETA,10.12,10.12,10.12,10.12,612
2024-01-04,QETA,10.13,10.1395,10.13,10.1395,35298
2024-01-05,QETA,10.14,10.14,10.14,10.14,100
2024-01-08,QETA,10.1092,10.15,10.1092,10.13,43720
2024-01-09,QETA,10.1101,10.1101,10.1101,10.1101,2285
2024-01-10,QETA,10.14,10.14,10.14,10.14,187
2024-01-11,QETA,10.14,10.14,10.13,10.13,2723
2024-01-12,QETA,10.13,10.13,10.13,10.13,0
2024-01-16,QETA,10.14,10.14,10.14,10.14,500
2024-01-17,QETA,10.14,10.14,10.14,10.14,0
2024-01-18,QETA,10.14,10.14,10.14,10.14,29301
2024-01-19,QETA,10.1403,10.1403,10.14,10.14,321
2024-01-22,QETA,10.15,10.19,10.14,10.14,30839
2024-01-23,QETA,10.14,10.14,10.14,10.14,45
2024-01-24,QETA,10.14,10.14,10.14,10.14,0
2024-01-25,QETA,10.22,10.22,10.22,10.22,231
2024-01-26,QETA,10.22,10.22,10.22,10.22,500
2024-01-29,QETA,10.1682,10.21,10.15,10.2,97054
2024-01-30,QETA,10.22,10.22,10.2109,10.2109,8509
2024-01-31,QETA,10.1901,10.34,10.18,10.18,19091
2024-02-01,QETA,10.2,10.25,10.19,10.25,17795
2024-02-02,QETA,10.25,10.25,10.25,10.25,55
2024-02-05,QETA,10.2,10.21,10.2,10.2,30204
2024-02-06,QETA,10.2,10.2,10.2,10.2,3720
2024-02-07,QETA,10.2031,10.2074,10.2,10.2,35189
2024-02-08,QETA,10.2,10.2,10.2,10.2,21739
