date,ticker,open,high,low,close,volume
2025-12-12,TWLVU,10.0,10.01,9.975,10.0,6361196
2025-12-15,TWLVU,10.0,10.0,9.98,9.98,86768
2025-12-16,TWLVU,9.98,9.99,9.97,9.97,74412
2025-12-17,TWLVU,9.99,9.99,9.97,9.975,34447
2025-12-18,TWLVU,9.9752,9.9752,9.97,9.97,22149
2025-12-19,TWLVU,9.98,9.98,9.96,9.96,300444
2025-12-22,TWLVU,9.97,9.9974,9.97,9.97,420077
2025-12-23,TWLVU,9.97,9.97,9.97,9.97,1789
2025-12-24,TWLVU,9.97,9.97,9.97,9.97,60
2025-12-26,TWLVU,9.97,9.97,9.97,9.97,0
2025-12-29,TWLVU,9.97,9.97,9.97,9.97,448
2025-12-30,TWLVU,9.96,9.99,9.96,9.99,2244
2025-12-31,TWLVU,9.97,9.97,9.95,9.95,5657
