date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-10-20,EGOXF,2.1,2.24,1.4,1.41,1.41,544886,0.0,1.0
2023-10-23,EGOXF,1.49,1.52,0.998,1.26,1.26,1723606,0.0,1.0
2023-10-24,EGOXF,1.19,1.2,1.045,1.08,1.08,277289,0.0,1.0
2023-10-25,EGOXF,1.11,1.11,0.93,0.97,0.97,380120,0.0,1.0
2023-10-26,EGOXF,0.9016,1.17,0.85,1.0964,1.0964,381522,0.0,1.0
2023-10-27,EGOXF,1.1,1.1,0.9,0.9202,0.9202,236964,0.0,1.0
2023-10-30,EGOXF,0.93,0.9638,0.8601,0.8812,0.8812,100605,0.0,1.0
2023-10-31,EGOXF,0.919,0.939499,0.82,0.8412,0.8412,156259,0.0,1.0
2023-11-01,EGOXF,0.8553,0.8576,0.6308,0.7202,0.7202,184837,0.0,1.0
2023-11-02,EGOXF,0.73,0.789,0.729801,0.741,0.741,100075,0.0,1.0
2023-11-03,EGOXF,0.7728,0.789,0.73,0.75,0.75,113093,0.0,1.0
2023-11-06,EGOXF,0.7275,0.759999,0.64,0.64,0.64,83503,0.0,1.0
2023-11-07,EGOXF,0.6501,0.6501,0.5511,0.5765,0.5765,124234,0.0,1.0
2023-11-08,EGOXF,0.6145,0.6145,0.55,0.5712,0.5712,70057,0.0,1.0
2023-11-09,EGOXF,0.5804,0.5804,0.5404,0.5451,0.5451,68285,0.0,1.0
2023-11-10,EGOXF,0.5584,0.5646,0.4912,0.5229,0.5229,61203,0.0,1.0
2023-11-13,EGOXF,0.5094,0.517399,0.4603,0.485,0.485,56636,0.0,1.0
2023-11-14,EGOXF,0.5088,0.589,0.4734,0.569899,0.569899,231731,0.0,1.0
2023-11-15,EGOXF,0.55,0.619,0.481,0.491,0.491,266206,0.0,1.0
2023-11-16,EGOXF,0.5,0.514501,0.3803,0.4201,0.4201,376223,0.0,1.0
2023-11-17,EGOXF,0.4,0.439,0.3608,0.4252,0.4252,240004,0.0,1.0
2023-11-20,EGOXF,0.415,0.446,0.3947,0.4333,0.4333,50822,0.0,1.0
2023-11-21,EGOXF,0.496,0.496,0.4331,0.46,0.46,83660,0.0,1.0
2023-11-22,EGOXF,0.4807,0.489,0.440001,0.489,0.489,84235,0.0,1.0
2023-11-24,EGOXF,0.469,0.556,0.45,0.549,0.549,150873,0.0,1.0
2023-11-27,EGOXF,0.6,0.62,0.55,0.55,0.55,167055,0.0,1.0
2023-11-28,EGOXF,0.54,0.7199,0.5048,0.614067,0.614067,1294024,0.0,1.0
2023-11-29,EGOXF,0.6283,0.64,0.5503,0.600001,0.600001,282122,0.0,1.0
2023-11-30,EGOXF,0.5899,0.6222,0.5131,0.561,0.561,118403,0.0,1.0
2023-12-01,EGOXF,0.541,0.5984,0.51,0.58,0.58,514656,0.0,1.0
2023-12-04,EGOXF,0.626,0.6325,0.5406,0.611,0.611,2974482,0.0,1.0
2023-12-05,EGOXF,0.55,0.6,0.55,0.5825,0.5825,262667,0.0,1.0
2023-12-06,EGOXF,0.55,0.625,0.55,0.61,0.61,195614,0.0,1.0
2023-12-07,EGOXF,0.6,0.6,0.56,0.5879,0.5879,95743,0.0,1.0
2023-12-08,EGOXF,0.5745,0.5745,0.5401,0.55205,0.55205,62104,0.0,1.0
2023-12-11,EGOXF,0.565,0.565,0.4574,0.484,0.484,227365,0.0,1.0
2023-12-12,EGOXF,0.507,0.5097,0.441,0.46,0.46,49536,0.0,1.0
2023-12-13,EGOXF,0.46,0.4875,0.446,0.4807,0.4807,17992,0.0,1.0
2023-12-14,EGOXF,0.539,0.539,0.459,0.49,0.49,49357,0.0,1.0
2023-12-15,EGOXF,0.5145,0.55,0.49,0.495,0.495,16411,0.0,1.0
2023-12-18,EGOXF,0.495,0.5374,0.47,0.518,0.518,15215,0.0,1.0
2023-12-19,EGOXF,0.5384,0.5384,0.49,0.52,0.52,41210,0.0,1.0
2023-12-20,EGOXF,0.4887,0.5146,0.47,0.49,0.49,44057,0.0,1.0
2023-12-21,EGOXF,0.52,0.52,0.464,0.4913,0.4913,124131,0.0,1.0
