date,ticker,open,high,low,close,volume
2022-09-08,HLLY,5.68,5.905,5.67,5.79,348152
2022-09-09,HLLY,5.83,6.03,5.82,5.98,803089
2022-09-12,HLLY,6.02,6.16,5.87,6.01,2097168
2022-09-13,HLLY,5.84,5.91,5.57,5.62,581991
2022-09-14,HLLY,5.56,5.769,5.455,5.69,800932
2022-09-15,HLLY,5.66,5.86,5.455,5.51,628305
2022-09-16,HLLY,5.46,5.46,5.24,5.33,1814129
2022-09-19,HLLY,5.28,5.49,5.255,5.39,835500
2022-09-20,HLLY,5.35,5.35,5.205,5.24,471836
2022-09-21,HLLY,5.2,5.28,4.98,4.98,811625
2022-09-22,HLLY,4.93,4.98,4.7746,4.79,561442
2022-09-23,HLLY,4.73,4.74,4.5,4.5,736158
2022-09-26,HLLY,4.45,4.64,4.365,4.39,493710
2022-09-27,HLLY,4.45,4.51,4.34,4.41,370358
2022-09-28,HLLY,4.45,4.67,4.395,4.56,433799
2022-09-29,HLLY,4.5,4.55,4.185,4.27,483751
2022-09-30,HLLY,4.22,4.32,4.05,4.05,479358
2022-10-03,HLLY,4.1,4.26,4.02,4.26,471303
2022-10-04,HLLY,4.34,4.395,4.115,4.15,501209
2022-10-05,HLLY,4.02,4.05,3.88,4.03,612879
2022-10-06,HLLY,4.05,4.17,3.93,3.94,366989
2022-10-07,HLLY,3.9,3.9,3.585,3.59,641721
2022-10-10,HLLY,3.63,3.9,3.54,3.88,473174
2022-10-11,HLLY,3.82,4.1,3.79,4.06,677365
2022-10-12,HLLY,4.03,4.33,4.0,4.27,844136
2022-10-13,HLLY,4.1,4.14,3.9,4.12,713082
2022-10-14,HLLY,4.17,4.19,3.995,4.08,377548
2022-10-17,HLLY,4.16,4.25,4.05,4.21,516283
2022-10-18,HLLY,4.3,4.405,4.1852,4.21,512909
2022-10-19,HLLY,4.2,4.2,3.96,3.97,422115
2022-10-20,HLLY,3.98,4.05,3.92,3.96,416089
2022-10-21,HLLY,4.01,4.055,3.8469,4.0,365085
2022-10-24,HLLY,3.99,4.01,3.84,3.9,312603
2022-10-25,HLLY,3.93,4.05,3.93,4.03,688547
2022-10-26,HLLY,4.08,4.44,4.009,4.23,620535
2022-10-27,HLLY,4.32,4.395,4.115,4.13,768951
2022-10-28,HLLY,4.16,4.16,3.92,4.02,830109
2022-10-31,HLLY,4.0,4.03,3.905,3.98,490444
2022-11-01,HLLY,4.06,4.09,3.92,3.92,358858
2022-11-02,HLLY,3.91,3.93,3.61,3.64,794126
2022-11-03,HLLY,3.6,3.66,3.51,3.53,1184787
2022-11-04,HLLY,3.61,3.66,3.41,3.5,603331
2022-11-07,HLLY,3.52,3.53,3.225,3.24,729038
2022-11-08,HLLY,3.26,3.48,3.21,3.28,1258250
2022-11-09,HLLY,3.23,3.25,2.87,2.88,889692
2022-11-10,HLLY,3.05,3.25,2.96,3.13,1313259
2022-11-11,HLLY,3.12,3.32,3.055,3.21,1624604
2022-11-14,HLLY,3.2,3.26,2.885,2.99,1576192
2022-11-15,HLLY,3.11,3.25,3.03,3.06,1503185
2022-11-16,HLLY,3.01,3.035,2.2901,2.4,2840481
2022-11-17,HLLY,2.42,2.925,2.37,2.91,1476548
2022-11-18,HLLY,2.95,3.125,2.915,3.0,916286
2022-11-21,HLLY,2.96,2.99,2.77,2.8,1311860
2022-11-22,HLLY,2.83,2.84,2.69,2.71,1006937
2022-11-23,HLLY,2.72,2.75,2.615,2.67,446908
2022-11-25,HLLY,2.7,2.705,2.615,2.64,104868
2022-11-28,HLLY,2.58,2.685,2.53,2.66,518725
2022-11-29,HLLY,2.67,2.7,2.6,2.64,337197
2022-11-30,HLLY,2.65,2.76,2.6,2.74,549841
2022-12-01,HLLY,2.75,2.83,2.68,2.69,351999
2022-12-02,HLLY,2.62,2.75,2.55,2.72,428613
2022-12-05,HLLY,2.72,2.96,2.7,2.91,483086
2022-12-06,HLLY,2.9,2.91,2.6,2.66,633383
2022-12-07,HLLY,2.65,2.76,2.585,2.64,300373
2022-12-08,HLLY,2.64,2.78,2.57,2.64,455569
2022-12-09,HLLY,2.64,2.8,2.58,2.72,543705
2022-12-12,HLLY,2.73,2.84,2.66,2.69,527383
2022-12-13,HLLY,2.73,2.78,2.36,2.5,887675
2022-12-14,HLLY,2.49,2.51,2.33,2.46,417430
2022-12-15,HLLY,2.4,2.4,2.25,2.26,717746
2022-12-16,HLLY,2.26,2.265,2.14,2.24,886686
2022-12-19,HLLY,2.27,2.27,2.12,2.15,704229
2022-12-20,HLLY,2.15,2.28,2.09,2.15,556327
2022-12-21,HLLY,2.16,2.22,2.1401,2.18,432073
2022-12-22,HLLY,2.17,2.17,2.03,2.1,516691
2022-12-23,HLLY,2.06,2.13,2.02,2.04,446889
2022-12-27,HLLY,2.06,2.06,1.91,1.94,821532
2022-12-28,HLLY,1.93,2.015,1.8801,1.91,594934
2022-12-29,HLLY,1.92,2.07,1.89,2.03,747031
2022-12-30,HLLY,2.01,2.15,2.01,2.12,648439
2023-01-03,HLLY,2.17,2.25,2.1,2.16,690724
2023-01-04,HLLY,2.21,2.26,2.06,2.09,675349
2023-01-05,HLLY,2.11,2.15,1.92,2.03,957388
2023-01-06,HLLY,2.04,2.245,2.035,2.21,664806
2023-01-09,HLLY,2.23,2.5,2.23,2.44,618139
2023-01-10,HLLY,2.43,2.565,2.385,2.46,611133
2023-01-11,HLLY,2.48,2.49,2.36,2.41,325038
2023-01-12,HLLY,2.42,2.49,2.355,2.48,459671
2023-01-13,HLLY,2.42,2.575,2.346,2.56,341219
2023-01-17,HLLY,2.57,2.66,2.52,2.59,565396
2023-01-18,HLLY,2.64,2.825,2.6307,2.75,745399
2023-01-19,HLLY,2.75,2.8,2.69,2.76,654426
2023-01-20,HLLY,2.8,3.03,2.71,2.87,703693
2023-01-23,HLLY,2.88,3.22,2.88,3.22,843640
2023-01-24,HLLY,3.2,3.285,3.02,3.03,612140
2023-01-25,HLLY,3.03,3.1,2.86,3.07,914727
2023-01-26,HLLY,3.18,3.328,3.105,3.15,751062
2023-01-27,HLLY,3.13,3.21,2.99,3.13,531876
2023-01-30,HLLY,3.12,3.23,3.045,3.19,477830
2023-01-31,HLLY,3.2,3.31,3.16,3.31,504870
2023-02-01,HLLY,3.27,3.44,3.27,3.43,579822
2023-02-02,HLLY,3.5,3.59,3.43,3.51,712723
2023-02-03,HLLY,3.47,3.62,3.37,3.48,586531
2023-02-06,HLLY,3.45,3.48,3.32,3.42,341079
2023-02-07,HLLY,2.65,2.77,2.15,2.36,5575426
2023-02-08,HLLY,2.42,2.42,2.13,2.13,1743741
2023-02-09,HLLY,2.14,2.21,2.03,2.11,1292666
2023-02-10,HLLY,2.12,2.28,2.08,2.27,665234
2023-02-13,HLLY,2.22,2.325,2.1,2.29,821517
2023-02-14,HLLY,2.26,2.295,2.195,2.25,419111
