date,ticker,open,high,low,close,volume
2022-10-27,SLNAF,9.75,49.49,8.37,40.9,735859
2022-10-28,SLNAF,36.97,40.84,14.82,15.09,333147
2022-10-31,SLNAF,18.0,18.0,12.5,12.89,482861
2022-11-01,SLNAF,13.0,13.22,9.5,9.94,264777
2022-11-02,SLNAF,9.0,9.17,6.21,6.28,385362
2022-11-03,SLNAF,6.2,8.16,4.4,4.4999,923486
2022-11-04,SLNAF,4.8,5.15,3.52,3.61,722680
2022-11-07,SLNAF,4.0,6.67,3.8,3.88,6575923
2022-11-08,SLNAF,4.06,4.95,4.06,4.29,1272366
2022-11-09,SLNAF,4.6,4.92,3.82,3.93,654352
2022-11-10,SLNAF,4.28,4.77,4.14,4.55,557316
2022-11-11,SLNAF,4.79,4.8783,4.31,4.84,338724
2022-11-14,SLNAF,5.0,5.0,4.4,4.49,169608
2022-11-15,SLNAF,4.75,4.75,4.22,4.5904,261769
2022-11-16,SLNAF,4.43,4.65,4.25,4.4093,241900
2022-11-17,SLNAF,4.5,4.5,3.96,4.1,209437
2022-11-18,SLNAF,4.14,4.4,4.02,4.29,240788
2022-11-21,SLNAF,4.22,4.4977,4.01,4.1,143642
2022-11-22,SLNAF,4.29,4.29,3.88,3.94,225001
2022-11-23,SLNAF,3.91,4.12,3.86,3.99,349271
2022-11-25,SLNAF,4.1,4.1,3.77,3.84,45231
2022-11-28,SLNAF,3.88,3.98,3.42,3.53,198674
2022-11-29,SLNAF,3.66,3.68,3.4,3.51,114885
2022-11-30,SLNAF,3.45,3.59,3.1731,3.3,110885
2022-12-01,SLNAF,3.47,3.47,3.14,3.36,32967
2022-12-02,SLNAF,3.32,3.56,3.15,3.45,54839
2022-12-05,SLNAF,3.39,3.48,3.08,3.13,77403
2022-12-06,SLNAF,3.0,3.125,2.68,2.87,166690
2022-12-07,SLNAF,2.9084,3.2,2.9015,2.93,39802
2022-12-08,SLNAF,3.04,3.1099,2.99,3.02,78534
2022-12-09,SLNAF,2.96,2.96,2.86,2.92,40000
2022-12-12,SLNAF,2.86,2.98,2.86,2.91,47116
2022-12-13,SLNAF,3.06,3.07,2.84,2.92,44181
2022-12-14,SLNAF,2.86,3.01,2.7,2.73,147539
2022-12-15,SLNAF,2.7,2.93,2.62,2.8,108042
2022-12-16,SLNAF,2.74,2.9599,2.61,2.78,107962
2022-12-19,SLNAF,2.7,2.99,2.56,2.76,66258
2022-12-20,SLNAF,2.76,2.9,2.59,2.7,110057
2022-12-21,SLNAF,2.65,2.7499,2.53,2.69,45377
2022-12-22,SLNAF,2.7,2.8799,2.56,2.6783,28787
2022-12-23,SLNAF,2.6053,2.79,2.6053,2.745,27982
2022-12-27,SLNAF,2.72,2.72,2.55,2.6043,25296
2022-12-28,SLNAF,2.93,2.93,2.53,2.57,41812
2022-12-29,SLNAF,2.5,2.95,2.5,2.92,103206
2022-12-30,SLNAF,2.72,2.79,2.6827,2.71,19251
2023-01-03,SLNAF,2.68,3.0,2.68,2.73,239221
2023-01-04,SLNAF,2.75,2.8473,2.66,2.7,62425
2023-01-05,SLNAF,2.7,2.96,2.6745,2.96,101861
2023-01-06,SLNAF,2.93,3.0,2.7735,3.0,33087
2023-01-09,SLNAF,3.0,3.46,3.0,3.39,108929
2023-01-10,SLNAF,3.36,3.36,3.16,3.2,31776
2023-01-11,SLNAF,3.27,3.3122,3.17,3.2,27366
