date,ticker,open,high,low,close,volume
2020-01-14,AGILQ,9.8,9.8,9.8,9.8,2500
2020-01-15,AGILQ,9.8,9.8,9.8,9.8,1000
2020-01-16,AGILQ,9.79,9.79,9.77,9.77,3000
2020-01-17,AGILQ,9.8,9.8,9.8,9.8,24001
2020-01-21,AGILQ,9.8,9.8,9.8,9.8,500
2020-01-22,AGILQ,9.8,9.8,9.8,9.8,0
2020-01-23,AGILQ,9.8,9.8,9.8,9.8,0
2020-01-24,AGILQ,9.85,9.85,9.85,9.85,203
2020-01-27,AGILQ,9.8,9.8,9.8,9.8,1006
2020-01-28,AGILQ,9.8,9.8,9.8,9.8,0
2020-01-29,AGILQ,9.8,9.8,9.8,9.8,26301
2020-01-30,AGILQ,9.8,9.8,9.8,9.8,0
2020-01-31,AGILQ,9.8,9.8,9.8,9.8,0
2020-02-03,AGILQ,9.8,9.8,9.8,9.8,0
2020-02-04,AGILQ,9.85,9.85,9.85,9.85,100
2020-02-05,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-06,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-07,AGILQ,9.85,9.85,9.85,9.85,77400
2020-02-10,AGILQ,9.85,9.85,9.8,9.85,500100
2020-02-11,AGILQ,9.85,9.85,9.85,9.85,11
2020-02-12,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-13,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-14,AGILQ,9.85,9.86,9.85,9.85,124808
2020-02-18,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-19,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-20,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-21,AGILQ,9.85,9.85,9.85,9.85,0
2020-02-24,AGILQ,9.87,9.87,9.85,9.85,40000
2020-02-25,AGILQ,9.85,9.89,9.85,9.89,415000
2020-02-26,AGILQ,9.89,9.89,9.89,9.89,0
2020-02-27,AGILQ,9.89,9.89,9.89,9.89,0
2020-02-28,AGILQ,9.9,9.9,9.9,9.9,242
2020-03-02,AGILQ,9.9,9.9,9.9,9.9,0
2020-03-03,AGILQ,9.9,9.9,9.9,9.9,0
2020-03-04,AGILQ,9.9,9.9,9.9,9.9,0
2020-03-05,AGILQ,9.9,9.9,9.9,9.9,0
2020-03-06,AGILQ,9.86,9.92,9.86,9.92,9440
2020-03-09,AGILQ,9.92,9.92,9.92,9.92,0
2020-03-10,AGILQ,9.92,9.92,9.92,9.92,0
2020-03-11,AGILQ,9.92,9.92,9.92,9.92,0
2020-03-12,AGILQ,9.8,9.8,9.8,9.8,10000
2020-03-13,AGILQ,9.75,9.75,9.75,9.75,5125
2020-03-16,AGILQ,9.75,9.75,9.75,9.75,0
2020-03-17,AGILQ,9.61,9.61,9.6,9.6,320
2020-03-18,AGILQ,9.55,9.55,9.2,9.2,95007
2020-03-19,AGILQ,9.2,9.2,9.2,9.2,2
2020-03-20,AGILQ,9.2,9.2,9.2,9.2,0
2020-03-23,AGILQ,9.2,9.2,9.2,9.2,0
2020-03-24,AGILQ,9.35,9.35,9.35,9.35,267826
2020-03-25,AGILQ,9.35,9.35,9.35,9.35,0
2020-03-26,AGILQ,9.35,9.35,9.35,9.35,0
2020-03-27,AGILQ,9.35,9.35,9.35,9.35,246
2020-03-30,AGILQ,9.35,9.35,9.35,9.35,0
2020-03-31,AGILQ,9.52,9.52,9.52,9.52,134
2020-04-01,AGILQ,9.52,9.52,9.52,9.52,0
2020-04-02,AGILQ,9.52,9.52,9.52,9.52,0
2020-04-03,AGILQ,9.52,9.52,9.52,9.52,0
2020-04-06,AGILQ,9.52,9.52,9.52,9.52,0
2020-04-07,AGILQ,9.52,9.52,9.52,9.52,0
2020-04-08,AGILQ,9.59,9.59,9.59,9.59,28000
2020-04-09,AGILQ,9.59,9.59,9.59,9.59,0
2020-04-13,AGILQ,9.63,9.63,9.61,9.61,1900
2020-04-14,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-15,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-16,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-17,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-20,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-21,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-22,AGILQ,9.61,9.61,9.61,9.61,0
2020-04-23,AGILQ,9.66,9.66,9.66,9.66,3661
2020-04-24,AGILQ,9.66,9.66,9.66,9.66,0
2020-04-27,AGILQ,9.66,9.66,9.66,9.66,0
2020-04-28,AGILQ,9.66,9.66,9.66,9.66,0
2020-04-29,AGILQ,9.66,9.66,9.66,9.66,275000
2020-04-30,AGILQ,9.66,9.66,9.66,9.66,0
2020-05-01,AGILQ,9.66,9.66,9.66,9.66,0
2020-05-04,AGILQ,9.66,9.66,9.66,9.66,0
2020-05-05,AGILQ,9.66,9.66,9.66,9.66,0
2020-05-06,AGILQ,9.66,9.66,9.66,9.66,0
2020-05-07,AGILQ,9.7,9.7,9.7,9.7,150000
2020-05-08,AGILQ,9.7,9.7,9.7,9.7,6
2020-05-11,AGILQ,9.7,9.7,9.7,9.7,0
