date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-10-29,YCY,9.9,9.93,9.9,9.93,9.93,154839,0.0,1.0
2025-10-30,YCY,9.94,9.94,9.93,9.93,9.93,741636,0.0,1.0
2025-10-31,YCY,9.92,9.94,9.92,9.93,9.93,337230,0.0,1.0
2025-11-03,YCY,9.92,9.93,9.92,9.93,9.93,437,0.0,1.0
2025-11-04,YCY,9.935,9.965,9.935,9.965,9.965,864538,0.0,1.0
2025-11-05,YCY,9.97,10.02,9.97,10.02,10.02,130678,0.0,1.0
2025-11-06,YCY,10.02,10.02,10.0,10.0,10.0,25467,0.0,1.0
2025-11-07,YCY,10.0,10.03,10.0,10.03,10.03,137809,0.0,1.0
2025-11-10,YCY,10.02,10.04,10.02,10.02,10.02,4487,0.0,1.0
2025-11-11,YCY,10.02,10.02,10.02,10.02,10.02,29173,0.0,1.0
2025-11-12,YCY,9.98,9.98,9.98,9.98,9.98,699,0.0,1.0
2025-11-13,YCY,10.0,10.0,10.0,10.0,10.0,3788,0.0,1.0
2025-11-14,YCY,10.02,10.02,10.0,10.01,10.01,72602,0.0,1.0
2025-11-17,YCY,10.01,10.01,9.98,9.9965,9.9965,14046,0.0,1.0
2025-11-18,YCY,9.9965,9.9965,9.9965,9.9965,9.9965,63,0.0,1.0
2025-11-19,YCY,9.95,9.95,9.95,9.95,9.95,398,0.0,1.0
2025-11-20,YCY,9.95,9.95,9.945,9.945,9.945,11935,0.0,1.0
2025-11-21,YCY,9.95,9.95,9.9198,9.92,9.92,25948,0.0,1.0
2025-11-24,YCY,9.92,9.95,9.92,9.92,9.92,43243,0.0,1.0
2025-11-25,YCY,9.9,9.92,9.9,9.92,9.92,677,0.0,1.0
2025-11-26,YCY,9.92,9.92,9.91,9.9101,9.9101,17811,0.0,1.0
2025-11-28,YCY,9.91,9.91,9.91,9.91,9.91,117,0.0,1.0
2025-12-01,YCY,9.92,9.93,9.91,9.91,9.91,73301,0.0,1.0
2025-12-02,YCY,9.92,9.92,9.92,9.92,9.92,79704,0.0,1.0
2025-12-03,YCY,9.925,9.93,9.925,9.93,9.93,42148,0.0,1.0
2025-12-04,YCY,9.94,9.95,9.94,9.94,9.94,15170,0.0,1.0
2025-12-05,YCY,9.945,9.945,9.94,9.94,9.94,25164,0.0,1.0
2025-12-08,YCY,9.945,9.95,9.945,9.95,9.95,5179,0.0,1.0
2025-12-09,YCY,9.95,9.95,9.95,9.95,9.95,120,0.0,1.0
2025-12-10,YCY,9.95,9.95,9.95,9.95,9.95,1,0.0,1.0
2025-12-11,YCY,9.95,9.95,9.95,9.95,9.95,47,0.0,1.0
2025-12-12,YCY,9.95,9.95,9.95,9.95,9.95,26,0.0,1.0
2025-12-15,YCY,9.95,9.95,9.95,9.95,9.95,53,0.0,1.0
2025-12-16,YCY,9.95,9.95,9.95,9.95,9.95,177,0.0,1.0
2025-12-17,YCY,9.95,9.95,9.95,9.95,9.95,36,0.0,1.0
2025-12-18,YCY,9.95,9.95,9.95,9.95,9.95,18,0.0,1.0
2025-12-19,YCY,9.96,9.96,9.96,9.96,9.96,300069,0.0,1.0
2025-12-22,YCY,9.96,9.96,9.96,9.96,9.96,15,0.0,1.0
2025-12-23,YCY,9.96,9.96,9.9599,9.96,9.96,74093,0.0,1.0
2025-12-24,YCY,9.96,9.96,9.96,9.96,9.96,8,0.0,1.0
2025-12-26,YCY,9.99,9.99,9.99,9.99,9.99,109,0.0,1.0
