date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-11-18,DYOR,9.95,9.96,9.9401,9.96,9.96,26654,0.0,1.0
2025-11-19,DYOR,9.9,9.931,9.9,9.93,9.93,28118,0.0,1.0
2025-11-20,DYOR,9.92,9.92,9.91,9.92,9.92,1168141,0.0,1.0
2025-11-21,DYOR,9.9196,9.9196,9.91,9.91,9.91,1224,0.0,1.0
2025-11-24,DYOR,9.915,9.915,9.91,9.91,9.91,12049,0.0,1.0
2025-11-25,DYOR,9.91,9.915,9.9045,9.91,9.91,209106,0.0,1.0
2025-11-26,DYOR,9.905,9.9066,9.9,9.9,9.9,165923,0.0,1.0
2025-11-28,DYOR,9.9,9.9,9.9,9.9,9.9,132857,0.0,1.0
2025-12-01,DYOR,9.9,9.91,9.9,9.9,9.9,4965,0.0,1.0
2025-12-02,DYOR,9.9,9.92,9.9,9.9,9.9,67031,0.0,1.0
2025-12-03,DYOR,9.9,9.9,9.9,9.9,9.9,62026,0.0,1.0
2025-12-04,DYOR,9.9,9.9,9.9,9.9,9.9,238,0.0,1.0
2025-12-05,DYOR,9.9,9.9,9.9,9.9,9.9,252803,0.0,1.0
2025-12-08,DYOR,9.9,9.9,9.9,9.9,9.9,295,0.0,1.0
2025-12-09,DYOR,9.87,9.91,9.87,9.905,9.905,126364,0.0,1.0
2025-12-10,DYOR,9.9,9.9,9.9,9.9,9.9,492,0.0,1.0
2025-12-11,DYOR,9.91,9.91,9.88,9.9,9.9,66571,0.0,1.0
2025-12-12,DYOR,9.905,9.91,9.9,9.9,9.9,23061,0.0,1.0
2025-12-15,DYOR,9.9,9.9,9.9,9.9,9.9,42,0.0,1.0
2025-12-16,DYOR,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
2025-12-17,DYOR,9.9,9.9,9.9,9.9,9.9,52,0.0,1.0
2025-12-18,DYOR,9.9,9.9,9.9,9.9,9.9,29,0.0,1.0
2025-12-19,DYOR,9.91,9.91,9.91,9.91,9.91,50074,0.0,1.0
2025-12-22,DYOR,9.91,9.91,9.91,9.91,9.91,8,0.0,1.0
2025-12-23,DYOR,9.9087,9.9087,9.9087,9.9087,9.9087,336,0.0,1.0
2025-12-24,DYOR,9.92,9.92,9.92,9.92,9.92,237,0.0,1.0
2025-12-26,DYOR,9.92,9.92,9.92,9.92,9.92,172,0.0,1.0
